Id,Code_18,EU_ID,Description,East_1K,North_1K
130,311,EU_1605044,Broad-leaved forest,499000,260000
131,311,EU_1605059,Broad-leaved forest,496000,262000
132,311,EU_1605059,Broad-leaved forest,496000,262000
133,311,EU_1605059,Broad-leaved forest,495000,261000
134,311,EU_1605059,Broad-leaved forest,495000,261000
135,311,EU_1605059,Broad-leaved forest,496000,261000
136,311,EU_1605059,Broad-leaved forest,496000,261000
137,311,EU_1605063,Broad-leaved forest,498000,263000
138,311,EU_1605063,Broad-leaved forest,498000,262000
139,112,EU_1572484,Discontinuous urban fabric,498000,259000
140,112,EU_1572484,Discontinuous urban fabric,498000,259000
141,112,EU_1572484,Discontinuous urban fabric,500000,259000
142,112,EU_1572484,Discontinuous urban fabric,500000,259000
143,112,EU_1572484,Discontinuous urban fabric,499000,259000
144,112,EU_1572484,Discontinuous urban fabric,499000,259000
145,112,EU_1572484,Discontinuous urban fabric,499000,259000
146,112,EU_1572499,Discontinuous urban fabric,498000,259000
147,112,EU_1572499,Discontinuous urban fabric,498000,259000
148,112,EU_1572499,Discontinuous urban fabric,498000,260000
149,112,EU_1572499,Discontinuous urban fabric,498000,260000
150,112,EU_1572499,Discontinuous urban fabric,497000,260000
151,112,EU_1572499,Discontinuous urban fabric,497000,260000
152,112,EU_1572499,Discontinuous urban fabric,497000,259000
153,112,EU_1572499,Discontinuous urban fabric,497000,259000
154,112,EU_1572406,Discontinuous urban fabric,498000,255000
155,112,EU_1572406,Discontinuous urban fabric,498000,255000
156,112,EU_1572406,Discontinuous urban fabric,498000,255000
157,112,EU_1572440,Discontinuous urban fabric,498000,257000
158,112,EU_1572440,Discontinuous urban fabric,498000,257000
159,112,EU_1572440,Discontinuous urban fabric,498000,257000
160,112,EU_1572440,Discontinuous urban fabric,498000,257000
161,112,EU_1572286,Discontinuous urban fabric,499000,250000
162,112,EU_1572286,Discontinuous urban fabric,499000,250000
163,112,EU_1572286,Discontinuous urban fabric,499000,250000
164,112,EU_1572286,Discontinuous urban fabric,499000,251000
165,112,EU_1572286,Discontinuous urban fabric,499000,251000
166,112,EU_1572406,Discontinuous urban fabric,499000,255000
167,142,EU_1583382,Sport and leisure facilities,499000,255000
168,231,EU_1594952,Pastures,499000,255000
169,112,EU_1572406,Discontinuous urban fabric,499000,255000
170,142,EU_1583382,Sport and leisure facilities,499000,255000
171,231,EU_1594952,Pastures,499000,255000
172,112,EU_1572406,Discontinuous urban fabric,499000,255000
173,142,EU_1583382,Sport and leisure facilities,499000,255000
174,231,EU_1594952,Pastures,499000,255000
175,112,EU_1572406,Discontinuous urban fabric,499000,256000
176,142,EU_1583382,Sport and leisure facilities,499000,256000
177,112,EU_1572406,Discontinuous urban fabric,499000,256000
178,142,EU_1583382,Sport and leisure facilities,499000,256000
179,112,EU_1572406,Discontinuous urban fabric,499000,256000
180,142,EU_1583382,Sport and leisure facilities,499000,256000
181,112,EU_1572440,Discontinuous urban fabric,499000,257000
182,112,EU_1572440,Discontinuous urban fabric,499000,257000
183,112,EU_1572440,Discontinuous urban fabric,499000,257000
184,112,EU_1572440,Discontinuous urban fabric,499000,257000
185,112,EU_1572440,Discontinuous urban fabric,499000,258000
186,112,EU_1572440,Discontinuous urban fabric,499000,258000
187,112,EU_1572440,Discontinuous urban fabric,499000,258000
188,112,EU_1572440,Discontinuous urban fabric,499000,258000
189,311,EU_1605044,Broad-leaved forest,499000,261000
